productUid,title,collectionHandle,catalogUid,attributesJson
metallic_24x24-inch-600x600-mm_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x24-inch-600x600-mm""}"
metallic_24x24-inch-600x600-mm_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x24-inch-600x600-mm""}"
metallic_24x32-inch-600x800-mm_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x32-inch-600x800-mm""}"
metallic_24x32-inch-600x800-mm_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x32-inch-600x800-mm""}"
metallic_24x32-inch-600x800-mm_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x32-inch-600x800-mm""}"
metallic_24x32-inch-600x800-mm_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x32-inch-600x800-mm""}"
metallic_24x36-inch-600x900-mm_3-mm-silver-brushed_hor-grain_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x36-inch-600x900-mm""}"
metallic_24x36-inch-600x900-mm_3-mm-silver-brushed_hor-grain_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""hor-grain"",""MetallicProperties"":""3-mm-silver-brushed"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x36-inch-600x900-mm""}"
metallic_24x36-inch-600x900-mm_3-mm_4-0_hor,Metal / aluminium prints — hor,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x36-inch-600x900-mm""}"
metallic_24x36-inch-600x900-mm_3-mm_4-0_ver,Metal / aluminium prints — ver,aluminum-prints,metallic,"{""ColorType"":""4-0"",""MetallicEdge"":""none"",""MetallicGrainDirection"":""none"",""MetallicProperties"":""3-mm"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedMetallicFormat"":""24x36-inch-600x900-mm""}"
