productUid,title,collectionHandle,catalogUid,attributesJson
canvas_300x1000-mm-12x40-inch_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 300x1000-mm-12x40-inch — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x1000-mm-12x40-inch""}"
canvas_300x1000-mm-12x40-inch_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 300x1000-mm-12x40-inch — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x1000-mm-12x40-inch""}"
canvas_300x300-mm-12x12-inch_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 300x300-mm-12x12-inch — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x300-mm-12x12-inch""}"
canvas_300x300-mm-12x12-inch_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 300x300-mm-12x12-inch — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x300-mm-12x12-inch""}"
canvas_300x400-mm-12x16-inch_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 300x400-mm-12x16-inch — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x400-mm-12x16-inch""}"
canvas_300x400-mm-12x16-inch_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 300x400-mm-12x16-inch — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x400-mm-12x16-inch""}"
canvas_300x450-mm-12x18-inch_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 300x450-mm-12x18-inch — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x450-mm-12x18-inch""}"
canvas_300x450-mm-12x18-inch_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 300x450-mm-12x18-inch — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x450-mm-12x18-inch""}"
canvas_300x600-mm-12x24-inch_canvas_wood-fsc-slim_4-0_hor,Canvas prints — 300x600-mm-12x24-inch — hor,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""hor"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x600-mm-12x24-inch""}"
canvas_300x600-mm-12x24-inch_canvas_wood-fsc-slim_4-0_ver,Canvas prints — 300x600-mm-12x24-inch — ver,canvas-prints,canvas,"{""CanvasMaterial"":""canvas"",""CanvasThicknessType"":""wood-fsc-slim"",""ColorType"":""4-0"",""Orientation"":""ver"",""ProductStatus"":""activated"",""State"":""published"",""UnifiedCanvasFormat"":""300x600-mm-12x24-inch""}"
